season,Equipo,Puntos F1GOAT (Temporada),puntos_total,factor,gps_disputados
1973,Brabham,68.653,102.97999999999999,0.6666634297921927,15
1973,Iso Marlboro,64.18,96.27,0.6666666666666667,15
1973,Surtees,66.487,99.72999999999999,0.6666700090243658,15
1975,March,64.039,89.65499999999999,0.7142825274663991,14
1977,Shadow,67.288,114.39,0.5882332371710813,17
1977,Tyrrell,69.8,118.65999999999998,0.5882352941176471,17
1977,Penske,63.95,76.74,0.8333333333333335,12
1979,Sauber,60.36,30.18,2.0,5
1979,Brabham-Ford,68.46,13.692,4.999999999999999,2
1982,Team Lotus,68.26,102.38999999999999,0.6666666666666669,15
1984,Renault,73.963,118.34,0.625004225114078,16
1985,Brabham,70.219,112.35000000000001,0.625002225189141,16
1987,Arrows,68.363,109.38000000000001,0.6250045712196013,16
1990,Minardi,61.169,97.87,0.6250025544089097,16
1995,Forti,58.376,99.24,0.5882305521966948,17
1995,Minardi,64.765,110.09999999999998,0.588237965485922,17
1995,Sauber,69.512,118.16999999999999,0.5882372852669883,17
1996,Ligier,68.887,110.21999999999998,0.6249954636182182,16
2000,Minardi,62.488,106.23,0.5882330791678433,17
2000,Sauber,68.341,116.17999999999998,0.5882337751764504,17
2002,Minardi,61.8,105.06000000000002,0.588235294117647,17
2002,Sauber,72.512,123.27000000000001,0.5882372028879694,17
2007,Ferrari,83.506,141.95999999999998,0.5882361228515075,17
2008,Renault,73.4,132.12000000000003,0.5555555555555555,18
2009,Renault,69.776,118.61999999999999,0.5882313269263194,17
2011,Lotus,59.242,112.56000000000002,0.5263148542999289,19
2011,Mercedes,73.942,140.48999999999998,0.5263150402163855,19
1960,Epperly,57.4,5.74,10.0,1
1960,Scarab,59.9,23.96,2.5,4
1991,Dallara,64.706,103.53,0.624997585240993,16
1991,Ligier,62.644,100.23,0.6250024942631947,16
1992,Dallara,65.231,104.36999999999999,0.6249976046756731,16
1992,Ligier,66.489,106.38299999999998,0.6249964750007051,16
1993,Minardi,63.375,101.40000000000003,0.6249999999999998,16
1993,Sauber,68.419,109.46999999999998,0.6250022837307025,16
1994,Footwork,65.4,104.64,0.625,16
2018,Renault,72.129,151.46999999999997,0.47619330560507045,21
2019,McLaren,73.086,153.48000000000002,0.476192337763878,21
2019,Williams,61.233,128.59000000000003,0.476187883972315,21
2025,Racing Bulls,70.68,106.01999999999998,0.6666666666666669,15
2012,Toro Rosso,66.315,132.63000000000002,0.4999999999999999,20
2024,Aston Martin,71.05,170.51999999999998,0.4166666666666667,24
2003,Jordan,65.887,105.41999999999997,0.6249952570669703,16
